LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
30000,2,2,2,34,-1,0,-1,-1,3,5,12731,23665,2942,7962,20263,8237,5315,4881,1147,2119,9472,1170,0
80000,2,3,2,22,-1,-1,3,1,0,4,27416,25430,21769,53948,12700,44071,15932,17639,8360,19959,5475,16169,0
50000,2,2,2,38,0,-1,2,0,2,2,11694,20228,24936,27293,16527,23875,8229,1039,5305,7001,4652,6705,0
50000,1,2,3,47,0,8,-1,0,0,3,2381,29437,34267,13096,30691,17164,1430,9280,11741,7248,7915,12091,0
30000,2,3,2,29,3,4,-1,-1,-1,-1,5972,14126,18404,11008,17464,2239,2819,6239,9788,5330,8833,902,1
20000,2,2,1,73,0,1,3,2,-1,2,3072,6930,9722,4131,11860,13434,845,1645,0,3230,6908,4435,0
20000,1,3,1,52,1,1,1,-1,0,0,4310,5697,5552,12482,2677,7877,1603,575,731,8223,879,1364,1
10000,1,3,2,31,0,-1,-1,0,0,5,1962,4191,2267,2930,4697,1007,382,959,663,641,1315,232,1
20000,1,2,1,41,0,-1,-1,0,1,9,6933,284,10758,5907,4697,3392,3978,236,1767,397,1070,480,0
10000,2,3,2,53,-1,2,-1,0,0,0,8235,9725,6551,5995,2216,4400,3863,2580,3175,882,706,1096,1
100000,2,1,2,53,2,0,2,-1,1,0,25597,28380,63620,36247,32173,20469,11542,5915,3829,4191,22246,3022,0
30000,1,2,3,64,-1,0,-1,-1,-1,0,20359,9507,15508,13059,11570,0,13800,3830,349,7252,3315,0,0
500000,2,1,1,38,-1,1,2,-1,0,1,229587,206753,268420,219594,265648,270731,40138,110495,40461,23864,143305,57860,0
20000,2,3,1,44,2,0,-1,-1,-1,0,1101,13326,12771,13425,3277,7294,418,5993,7412,3983,1264,988,1
50000,2,1,1,32,-1,0,0,2,2,-1,31478,23524,23012,18740,13515,45010,17557,3745,8032,8171,2621,8429,1
50000,2,3,1,35,-1,2,-1,-1,0,0,21374,22185,13708,37843,27119,23069,2420,11019,3299,13530,2723,18449,1
10000,2,1,2,41,-1,0,2,-1,2,-1,5347,4500,6591,2612,1411,5282,986,1716,912,566,609,2751,1
200000,2,2,1,68,5,-1,7,-1,0,-1,38475,105393,67481,170681,110539,118494,3084,74081,43157,37416,7092,43262,1
10000,2,1,2,26,1,1,3,0,0,2,4417,5313,2851,3008,3163,2736,2170,2121,1290,1341,566,974,0
300000,2,2,2,58,1,0,3,2,-1,0,192143,91035,182317,168600,118471,25339,92031,36901,0,20810,90175,11276,0
200000,2,2,2,27,-1,2,0,2,-1,3,18808,13267,104376,94892,67114,72906,9465,11043,5871,12022,18121,26195,0
80000,1,3,2,38,1,6,2,0,0,0,11122,26131,31114,40933,41277,34500,4196,6258,13910,6791,18770,10081,0
80000,1,2,1,42,3,0,0,2,-1,-1,39197,6676,0,48820,30225,0,18007,2983,0,6034,7414,0,0
100000,1,2,1,52,1,2,2,-1,0,0,71882,63820,32684,54043,90734,44721,36337,24443,18293,1575,39795,21868,1
50000,2,1,3,57,-1,0,-1,4,1,0,13964,13708,42001,19489,12807,8435,7424,7843,27475,5017,2430,5992,0
100000,2,1,1,27,0,6,-1,0,0,1,0,36781,43217,24471,60902,36202,0,21776,4057,1481,27528,8229,0
10000,2,3,1,71,1,0,-1,-1,0,-1,2252,3646,1544,0,4237,3830,1738,1574,568,0,1240,2290,1
10000,2,1,1,40,-1,0,2,-1,-1,-1,2410,4871,3947,6290,2016,2911,516,1442,1307,1250,1027,532,0
50000,1,3,2,33,0,0,1,0,3,3,13775,38212,0,15125,12874,21489,4488,0,0,5491,4106,4254,0
80000,2,1,3,56,1,-1,0,-1,-1,0,22541,7293,33057,25811,32855,54051,1428,1946,9612,7607,10934,13715,1
200000,1,1,2,49,2,0,4,2,-1,6,60622,99561,112763,74333,52375,25885,25226,55137,15173,23786,353,7014,1
20000,1,3,1,63,1,1,4,0,3,0,8715,9585,3717,4040,1824,8920,2025,308,512,369,1139,5264,1
200000,1,3,2,64,2,-1,4,3,-1,1,93684,51875,48020,66561,29323,100788,0,29313,25613,27934,16204,56431,0
30000,1,1,2,41,1,0,-1,0,-1,3,9265,4589,8240,14863,6395,2027,6373,724,1982,9112,5945,769,0
50000,1,2,1,22,5,0,2,2,0,0,0,28680,22704,15150,17771,26363,0,15402,10471,7118,4897,8101,1
30000,1,3,1,64,-1,5,-1,0,0,2,16044,18961,12836,8390,19253,10815,6781,10767,3742,2492,8846,1093,0
50000,2,1,1,49,0,1,2,-1,0,0,37970,16634,0,12568,33417,19772,14403,7396,0,7105,24358,9266,0
20000,1,1,3,39,-1,1,1,-1,-1,-1,11758,15530,4824,15485,7161,11969,454,0,314,5086,2086,5593,0
80000,1,2,3,54,0,1,2,-1,-1,2,51787,17114,37496,24195,27917,20280,15146,8785,21824,0,18581,8363,0
150000,2,1,1,28,-1,1,-1,-1,-1,1,88088,106723,50364,118707,33344,95426,56827,11862,17011,66942,14514,26054,0
50000,2,2,1,52,-1,-1,0,3,0,3,17571,11786,13037,22818,21507,24935,8260,4663,4756,9004,7726,9566,0
80000,1,2,3,33,-1,1,-1,2,0,6,56315,20202,35216,18841,24331,56022,31616,7849,1053,8178,2671,7405,0
200000,1,3,2,38,-1,0,0,1,1,0,154628,110671,149399,26251,108814,64067,76313,40029,52546,3326,39333,12590,0
100000,2,3,1,24,0,1,-1,6,2,0,53192,33454,47654,30806,58005,30150,19584,6964,9875,17651,15634,11104,0
80000,2,2,2,38,1,0,-1,-1,6,-1,50072,20708,45900,28183,57285,34802,33704,11164,15257,408,20940,7601,0
30000,1,2,2,67,-1,2,5,0,0,0,9328,2572,15690,11882,4597,10613,4810,1469,7528,3452,976,4133,0
200000,1,2,1,34,-1,0,9,5,-1,-1,85824,140772,65755,59297,18198,102471,20533,78077,14028,11368,5525,27724,0
80000,2,1,3,67,0,3,-1,1,1,-1,11679,42936,63418,4695,33827,42372,5980,3893,8279,2497,18720,13744,1
30000,2,3,1,68,-1,-1,5,1,-1,-1,18965,19195,19039,11849,9368,16263,0,9287,7350,2595,2741,8532,1
30000,2,1,3,28,4,3,0,-1,0,0,10869,13015,12849,11858,10435,6389,4514,4068,4840,1155,3552,2262,1
150000,1,1,1,39,2,0,0,-1,5,-1,82472,59615,0,75654,106662,67745,36822,26303,0,8167,46408,12298,0
10000,1,2,3,74,3,0,2,-1,4,0,3039,2695,5290,4524,4712,5492,1323,1535,3190,1893,3020,2596,1
500000,2,1,1,44,-1,0,0,-1,-1,0,165248,108969,259229,379485,111362,413516,54933,42076,150271,161209,61283,217456,0
20000,2,2,3,69,0,1,1,1,1,0,5327,2535,12406,4603,4747,9336,3338,991,3746,1069,1947,5049,0
150000,1,1,1,36,3,-1,3,-1,2,-1,24288,68928,94293,60396,17496,50508,9013,19775,31328,0,10028,11483,1
50000,2,2,1,57,-1,1,0,3,4,-1,16036,19288,25061,28341,32651,857,4540,2467,9117,3564,11165,245,0
80000,1,3,3,74,2,0,2,1,0,-1,39842,39222,52852,35652,35638,51608,7499,13120,22557,21384,10040,6776,0
200000,2,2,2,21,3,-1,-1,7,1,0,22694,104037,41932,83365,127398,90702,11322,55602,22043,22967,33594,0,0
50000,1,1,2,65,-1,-1,4,0,-1,0,39925,30414,5991,21504,26062,30011,6093,3771,2073,8962,17340,13192,0
80000,2,1,1,35,6,-1,2,7,-1,1,34553,25704,20438,57092,49182,67499,4025,2167,5854,26604,28880,35072,0
10000,2,2,1,29,2,1,-1,-1,-1,0,4052,223,5666,3446,3953,2710,2502,121,2889,1288,0,1046,1
10000,2,2,1,62,-1,-1,3,0,0,-1,4786,3146,3331,4907,3005,7188,2095,927,1993,4081,1245,3071,1
30000,2,2,3,38,0,3,1,2,3,0,13894,14473,17803,0,4051,13949,8285,0,4642,0,2471,6197,0
100000,2,3,1,24,-1,-1,-1,0,-1,0,6025,42410,42104,19019,64704,29045,2548,8975,15027,5367,3488,11353,0
20000,2,1,2,62,0,-1,1,3,0,1,15228,3792,3944,8220,11594,7308,5595,632,1332,4407,3005,1764,0
20000,1,2,2,74,0,5,8,-1,1,0,6180,4337,9027,13618,4055,4278,471,833,2221,4176,936,1120,0
50000,2,2,2,74,1,-1,1,-1,2,-1,28488,21085,26618,30647,10593,19382,6536,0,19111,3450,2221,0,1
100000,1,3,2,25,1,0,1,1,2,0,23004,40726,46089,34487,22155,40771,7358,26636,4361,9473,2440,18942,0
150000,2,1,2,27,0,0,-1,-1,-1,0,38004,61487,76476,78503,11522,89731,13609,25969,33578,10568,305,19622,0
20000,2,1,2,70,0,0,1,2,5,0,6811,5126,3437,5368,10891,8486,3140,1620,1364,1233,0,3265,0
10000,1,2,2,22,-1,-1,0,-1,2,2,7333,7307,7377,3356,6026,6447,930,2634,2528,896,1053,0,0
300000,2,2,1,23,0,0,0,0,5,0,60158,19634,112547,103961,21914,178257,46040,6606,42587,73422,7410,146880,0
30000,2,2,1,21,6,9,7,-1,-1,1,8989,6283,16521,7812,8573,0,3105,797,3010,5290,2596,0,1
200000,2,3,2,38,0,1,4,9,-1,-1,104607,72249,37194,77615,145952,2029,19052,24567,0,4360,46321,113,0
200000,1,3,2,27,3,0,2,1,4,2,161372,87375,69048,98860,63742,45068,49807,9060,29669,20905,43636,16812,1
150000,2,1,2,66,3,2,0,-1,0,-1,111338,69760,12054,15967,54442,65622,49358,36361,2365,8616,11765,1388,1
20000,2,2,3,74,5,3,-1,-1,1,0,2887,9097,12924,10183,7893,14345,493,4012,5585,6752,5063,3978,0
200000,1,1,2,26,-1,0,0,0,2,0,55306,11993,133105,124560,74947,105276,6633,1732,62055,45272,44870,31679,0
150000,2,3,2,54,1,1,2,-1,-1,-1,80293,59265,72352,66328,36263,89569,35625,27769,30271,27071,2114,0,1
100000,2,1,1,56,4,2,-1,2,-1,7,21486,26233,67273,17927,17936,73849,17549,15422,41963,7792,4574,0,1
50000,2,4,1,63,2,-1,-1,0,6,2,29564,20458,27656,20163,14787,21014,17849,7620,10484,5486,3436,2661,0
30000,2,2,1,25,0,0,0,1,5,1,26974,6565,0,11199,8572,8598,5047,3141,0,4349,2605,994,0
20000,2,2,1,61,-1,4,-1,0,3,2,11574,18526,14169,6425,6830,3822,6377,8699,1916,1915,4053,3526,0
80000,2,2,2,41,0,1,0,-1,-1,1,33951,38294,31144,65103,49455,20430,13942,14254,14767,8922,12954,11053,0
80000,1,2,1,70,-1,0,6,1,-1,0,44633,8697,7106,65094,46470,27448,23622,1433,2328,5990,7610,16583,1
50000,1,1,2,43,-1,-1,1,-1,0,-1,29544,30343,17819,8061,26029,31214,5405,10604,6634,4579,9570,13072,0
80000,2,2,2,55,1,-1,-1,-1,-1,1,29015,46691,67114,9606,54401,34174,6932,7036,30506,2102,16509,6502,0
50000,1,2,1,21,-1,6,2,0,0,2,10040,3153,23655,36674,7290,17006,4053,1670,8812,6930,3134,4615,1
100000,2,3,1,63,2,9,-1,0,0,-1,46100,63687,57578,47654,46815,49200,22883,20656,4802,10796,18544,6385,1
200000,2,2,1,55,-1,0,1,0,0,0,39099,28533,94282,37533,112413,103008,22598,9701,33312,2881,36573,75870,0
20000,1,2,2,39,0,-1,0,2,2,0,8490,10648,15295,7275,5340,4326,3320,5479,11105,655,810,733,0
50000,1,3,2,74,-1,-1,-1,5,1,1,2775,0,19537,45483,27220,20131,636,0,222,7325,12347,8242,0
20000,2,3,3,50,0,-1,0,1,-1,1,8911,6379,14311,8366,12399,11210,1146,2732,9048,4278,4448,6585,0
100000,1,1,1,62,2,0,-1,0,-1,-1,73999,10782,41178,27357,35884,29336,12461,223,0,10519,4063,9256,1
150000,2,2,1,26,2,2,3,2,-1,6,80422,62153,25336,67896,91788,60227,25850,24650,9560,31901,0,51691,1
300000,1,1,1,62,0,0,-1,2,-1,-1,111783,213461,62830,150217,198382,226751,20407,86752,32104,79905,35213,89482,0
30000,2,2,1,74,0,0,8,6,-1,-1,14651,18813,2579,12675,2686,10603,7151,12142,1661,6623,1438,3274,0
300000,1,3,1,51,1,-1,-1,1,2,-1,47363,240479,101954,69723,143642,43205,7025,6676,33459,20839,69546,28219,0
10000,1,2,1,64,1,0,0,1,4,-1,4297,5789,821,4464,3521,1412,0,2700,333,1595,1302,743,0
100000,1,2,2,34,-1,0,2,1,-1,1,15868,42842,62380,53303,27299,64893,4669,10831,11646,0,12114,24663,0
10000,1,2,1,36,-1,-1,-1,9,1,-1,6539,6728,4131,4726,4459,102,535,2526,1559,3027,2344,34,1
200000,2,1,2,49,0,0,-1,3,0,1,20934,33654,121485,60301,81098,95616,4826,10495,89058,38071,17135,6119,0
80000,2,1,2,59,0,1,-1,5,-1,0,16415,27144,8604,17879,41753,84305,3371,11747,2263,5210,22204,55182,0
100000,1,2,1,62,-1,0,0,3,3,0,65845,32489,49265,50385,50748,55774,17479,22223,18551,13100,17274,12400,0
200000,1,1,1,60,-1,2,-1,3,0,0,28227,81274,43025,63143,49617,87618,0,24733,18984,22621,24758,37221,1
20000,2,1,1,39,6,0,0,4,2,2,7715,2623,14184,5877,4467,12169,3844,792,8478,1211,651,5494,1
10000,2,2,3,41,-1,0,0,2,-1,4,5119,1280,1543,4812,3748,3386,2020,476,627,1640,1985,986,0
200000,2,1,1,53,3,-1,3,-1,0,1,50381,99350,155930,26651,83692,47548,12950,0,11995,4410,51020,26297,0
30000,1,1,2,50,0,0,-1,-1,1,0,9329,16750,9567,4357,4993,7692,3362,5577,4071,1772,2246,1901,0
20000,2,3,1,34,3,-1,1,1,8,0,2668,7388,8538,5408,11415,12976,802,2164,3653,3163,5740,3914,1
50000,2,1,1,51,1,-1,0,3,0,-1,18478,19934,28787,32043,17816,16842,3695,8343,18216,7436,2717,1011,0
100000,1,3,2,46,-1,-1,2,2,-1,-1,47204,32314,72065,45697,22677,28460,28838,8124,49563,5143,9437,4702,0
10000,2,4,2,38,4,-1,0,-1,3,-1,3510,5395,1527,5368,9077,4063,1179,2203,652,1738,2971,1915,0
30000,2,2,2,24,2,-1,5,3,0,0,13721,11388,6580,4453,6535,16868,3365,3303,765,1647,2525,8071,1
10000,2,3,1,56,0,2,-1,4,4,1,4431,6421,3337,7449,5623,7971,3396,3014,2013,3720,536,3774,0
50000,2,1,1,33,0,0,-1,-1,2,3,12087,24915,15881,12126,27334,17710,7553,3910,6960,2702,8062,1251,0
200000,2,4,2,73,0,-1,1,-1,1,0,112887,45107,134296,121204,51821,30014,71430,14494,49089,38736,13456,12539,0
500000,1,3,2,57,-1,-1,1,0,3,0,323440,393399,201736,317868,30729,183362,159307,198604,20339,199607,12537,21766,0
100000,1,3,2,30,-1,3,3,0,2,7,28535,35382,39580,46592,29060,64008,9715,10155,3105,20248,13820,42771,0
20000,2,1,2,57,0,-1,-1,1,-1,-1,11663,5170,8869,4434,7170,9183,3690,455,4956,2334,1008,3006,1
200000,2,3,2,50,-1,1,0,-1,-1,-1,58997,97835,94641,74872,67363,135773,21763,34494,6612,29101,6584,76485,0
80000,2,3,2,61,0,2,-1,0,4,4,54817,19609,21920,9698,0,14578,2635,1609,8850,1764,0,4074,0
20000,2,2,2,24,0,6,0,3,2,1,0,5463,11453,3613,10704,7853,0,2095,1788,0,4396,0,0
300000,2,1,1,30,0,-1,-1,1,1,-1,113095,143799,66832,127454,140739,77484,38147,72141,19845,42109,84781,25455,0
150000,2,1,2,62,-1,0,3,0,1,0,42725,34589,3280,73815,16531,75007,13898,10942,2063,42178,5287,32512,0
150000,2,2,2,64,2,-1,0,0,0,6,70751,56534,0,92477,64743,78093,41440,28249,0,43496,34241,26798,0
100000,2,2,1,60,2,0,-1,1,-1,5,49192,28361,48138,46699,51862,66549,0,4528,40952,11616,34632,35054,1
30000,2,1,2,60,2,-1,-1,0,0,0,11556,8204,14453,5671,17202,8148,5274,5021,3830,3542,5441,2531,0
30000,2,3,2,48,0,3,-1,0,-1,5,4784,5651,14190,8507,15875,0,1068,885,4044,3952,4082,0,0
100000,2,2,1,22,1,2,1,1,-1,0,19332,0,25643,12519,22519,23573,8270,0,5483,5660,16383,7458,1
30000,1,2,1,47,-1,1,-1,1,2,5,20423,9088,4505,14243,16711,7983,14396,4307,3095,7042,5440,3814,0
50000,1,2,2,49,0,0,3,0,1,5,15809,22435,0,5691,34754,21426,6622,1096,0,1510,14081,4452,0
150000,2,2,1,26,5,2,-1,1,1,0,46488,57786,77121,18686,0,66879,12361,12849,0,815,0,31515,1
150000,1,1,2,43,0,4,1,1,-1,0,81159,65365,65811,101006,47639,5313,30039,24708,26987,19480,27096,1259,0
50000,1,1,2,32,1,-1,0,1,1,6,23123,22529,14368,15416,10406,17520,1417,4974,3347,1089,6603,5252,0
150000,2,2,2,61,-1,-1,-1,2,-1,1,48386,28253,77280,110404,85871,47279,18330,16591,52725,33415,13758,27547,0
200000,1,2,1,28,-1,-1,0,0,0,0,159999,128434,94470,47800,126421,75149,38950,43539,58319,19781,38699,11374,0
100000,2,2,2,30,5,0,-1,-1,1,-1,45100,51894,47848,37121,71834,44336,22270,5993,9854,17133,31343,3610,1
30000,1,1,1,37,-1,-1,0,0,2,1,7650,16881,10590,27517,7284,11848,3276,3153,3685,2572,3241,0,0
30000,1,1,1,21,2,2,3,6,-1,3,17339,10899,14386,6731,11464,12479,8721,5348,7753,282,5157,7881,1
30000,2,2,2,23,3,-1,5,6,0,2,16699,11425,22027,7381,11332,9910,3301,2626,9454,3991,2731,3424,1
20000,2,2,1,64,0,-1,0,7,9,-1,17844,3684,11107,12212,6911,10702,11574,553,1119,7161,1385,0,1
30000,1,2,2,66,-1,0,-1,-1,1,0,7385,8172,0,17089,16014,3730,1305,2807,0,4519,6353,579,0
30000,2,2,2,48,2,1,2,-1,0,2,5997,20631,7729,14350,13702,21980,1741,6116,2006,5687,5078,762,0
50000,2,2,1,62,0,1,-1,4,2,3,23263,10200,31515,15395,36039,25606,10765,3012,11262,8348,7104,12635,0
200000,2,1,1,56,2,-1,0,5,0,0,91868,82559,94721,54333,54346,103938,22329,0,56941,17773,12258,54595,0
20000,2,1,2,68,-1,-1,-1,3,0,0,10093,11196,3046,7001,9694,5823,757,1671,1313,5204,2224,1353,0
150000,1,2,1,46,1,-1,0,-1,1,3,22801,61882,93074,55831,42714,17766,7870,40668,39008,3019,28166,5784,0
100000,2,2,1,45,0,-1,1,-1,-1,-1,61948,38512,25878,72421,65930,65954,24664,8108,11169,0,20400,26233,0
20000,1,1,2,54,-1,4,-1,0,0,-1,8360,6447,5043,8256,7119,6392,3740,1360,2216,3607,1070,2489,0
300000,1,1,2,23,0,0,1,4,-1,1,67341,87639,136358,51282,119257,193125,58344,47211,74646,13145,72690,96713,0
80000,2,1,1,48,0,-1,-1,2,-1,-1,34250,25796,9216,39119,62184,5769,18923,6150,4131,13404,13199,2469,0
50000,2,3,1,49,4,2,-1,-1,0,2,2297,25977,22854,32551,29471,23238,580,20204,10989,14769,16657,9374,1
150000,2,2,1,33,4,1,0,3,0,6,87381,60280,41778,92206,55447,41094,34310,12552,11283,47692,29234,23628,1
30000,1,2,2,62,1,6,1,-1,4,-1,11314,8442,13908,17841,3923,7394,2609,5842,2292,9405,2609,2958,0
100000,2,3,1,59,0,-1,-1,-1,4,1,0,48659,0,44348,23911,78784,0,0,0,19492,13978,0,0
10000,2,1,1,73,-1,-1,0,1,1,2,758,2972,2767,3575,4335,0,0,1112,1179,1835,252,0,1
200000,2,2,3,40,1,1,0,-1,-1,-1,81243,133608,92918,57805,78128,67766,21076,64429,23736,27968,9543,32026,0
50000,1,2,1,42,0,0,-1,-1,-1,-1,17422,10183,19546,27424,30178,26743,1651,2872,6058,5978,14772,3347,1
100000,2,3,1,33,0,0,0,2,0,-1,55210,35586,40005,22018,48708,14932,32705,18423,23969,1839,13135,3702,0
30000,1,4,1,28,0,1,0,2,0,1,7919,9444,11775,4766,6816,12225,4571,236,2596,1750,3980,3110,0
100000,2,2,1,62,-1,-1,4,1,3,9,21560,15322,27278,61075,28971,60424,15723,6100,8687,34804,14457,12230,0
150000,2,2,1,39,-1,0,-1,4,1,2,115058,88536,30324,136071,53482,91339,52038,39891,11881,0,17288,18183,0
80000,2,3,1,25,1,-1,0,1,0,2,26796,29300,36039,51997,37084,6455,16571,7678,6062,0,5031,0,0
100000,1,3,1,25,0,0,0,4,0,3,11237,54040,50794,5411,44663,57236,4436,9689,19834,4225,21469,7213,1
50000,1,3,1,54,-1,3,0,-1,-1,0,17218,33464,23990,15471,24377,12438,1521,2299,13941,5415,10803,2322,1
200000,2,1,1,69,-1,-1,-1,-1,4,4,96800,0,79170,108149,151117,72275,47057,0,22025,7885,12320,40821,0
80000,1,2,2,54,3,0,0,0,2,1,12264,25216,42007,19339,41326,14479,3690,10819,21206,6817,23515,10173,0
200000,2,2,1,31,3,3,0,1,0,4,100055,70625,88333,191501,82012,74371,31658,3920,36282,59464,42537,30258,1
150000,1,1,2,74,2,1,0,-1,-1,2,79348,99069,70445,25891,130192,17130,31456,18318,24965,5564,49712,4036,1
50000,1,2,1,58,-1,0,-1,1,5,0,29913,26236,32146,21228,5554,21319,4501,1737,2566,9950,1663,6336,0
30000,2,1,2,27,4,1,0,2,5,5,1726,2554,9479,20402,19152,9919,433,555,726,1101,4858,2738,1
50000,2,2,2,36,3,3,3,2,-1,2,22867,0,40246,13927,13468,28487,6152,0,16422,4038,5716,16043,1
200000,2,3,2,38,-1,4,-1,1,4,0,107176,85198,29202,26692,16718,139250,24960,0,6189,17291,3434,40693,0
30000,1,2,2,26,0,0,8,-1,1,-1,0,11492,15801,6213,15120,15159,0,4164,7549,2119,3198,2954,0
80000,1,2,2,70,0,0,-1,2,2,0,36168,31179,43188,38842,34491,29385,24191,17559,27604,12953,12234,10525,0
150000,2,2,2,73,-1,1,-1,4,0,0,90113,94792,31381,91501,76486,64741,35663,15609,14726,29211,0,0,1
50000,2,2,2,71,-1,0,6,0,0,-1,25740,49238,34774,36224,15106,24836,7648,22475,13182,9638,7452,10344,0
100000,2,2,2,21,-1,0,0,0,0,2,30952,28002,52967,50641,30688,49435,7288,3162,26179,30775,1840,12521,0
30000,1,2,1,43,0,-1,0,0,0,-1,12503,22231,9436,10617,10394,3556,1992,8603,7041,2406,2382,573,1
20000,1,3,1,70,-1,-1,1,3,0,1,9910,3409,11005,13529,12780,2567,6303,1348,5772,5922,5890,978,0
150000,2,1,2,58,0,0,0,1,-1,8,51984,79845,36926,37731,92556,45398,6970,29845,15573,16599,56285,12609,0
20000,2,2,1,28,0,1,0,4,1,-1,8770,7773,9351,4118,13878,7570,2832,4561,0,1075,938,3499,1
30000,2,1,2,32,0,3,0,-1,-1,-1,14695,9935,17761,2785,7857,22866,2711,2487,7206,159,1820,17435,0
200000,2,2,3,25,0,2,1,0,-1,3,75015,102293,49802,71635,29441,141459,22122,51203,16858,5260,9910,3258,0
50000,1,3,1,63,-1,0,2,-1,0,5,23849,8210,5304,22880,6966,15846,618,3998,853,13307,4066,6217,0
500000,2,1,2,47,2,7,-1,0,-1,1,269107,110608,270877,161384,44581,170659,89408,64332,93095,66861,18098,14437,1
500000,2,2,3,65,-1,-1,0,0,1,0,43143,127397,259124,322373,296261,168082,20636,80764,0,26906,75039,50013,0
30000,1,2,2,70,0,2,-1,2,0,4,7983,16419,18700,7825,28146,5611,1849,10961,10452,0,18996,1137,0
10000,2,2,2,41,-1,1,8,0,3,1,2655,4739,5243,7684,4401,3257,835,1751,2068,1062,2522,1234,0
100000,2,2,1,67,2,0,2,-1,5,-1,32009,27155,37727,72444,57399,26115,0,17436,10843,31431,28248,9411,1
50000,1,1,1,63,0,-1,0,-1,-1,-1,29395,30151,24745,27186,17142,47792,8930,2416,12685,8476,4208,3614,0
20000,2,1,2,57,1,0,1,2,0,2,8109,12428,9107,16894,6557,6563,2598,3289,3195,1992,4284,1398,1
100000,2,2,2,33,-1,-1,-1,2,6,1,58238,0,21158,55476,45302,67628,21771,0,5046,16183,30356,48434,0
10000,2,3,3,39,-1,3,3,0,-1,5,4312,6208,4176,5726,3229,3955,1624,4315,670,2295,844,1081,0
200000,2,2,2,33,0,3,-1,1,2,-1,53432,95477,102954,126186,69764,36628,6506,14483,49231,61412,10946,16528,0
20000,2,3,2,42,0,-1,4,2,2,5,4508,6397,12061,2543,0,13408,1761,1981,4192,0,0,5079,1
20000,2,2,2,66,2,3,1,4,0,1,8365,4694,307,8806,8582,9553,4866,661,85,360,4461,3110,0
20000,2,2,1,52,-1,8,2,0,0,0,14183,3135,9661,12836,3463,8120,6453,658,2217,3764,1140,2942,1
500000,2,4,2,23,4,1,-1,0,-1,0,49339,64657,165834,251167,149531,218941,3898,11786,103131,102997,23975,80579,1
100000,1,1,2,29,4,1,1,-1,2,-1,25194,23661,28899,41592,21877,13551,0,9939,10101,17554,7508,2583,0
150000,2,2,1,58,0,-1,1,0,6,1,29575,138280,96129,61592,38590,63841,0,58970,22384,7088,11463,45032,1
50000,1,1,2,68,-1,1,-1,-1,2,-1,13973,14883,22590,19872,19349,2052,734,4269,0,0,8586,1183,0
50000,1,2,1,43,2,-1,-1,-1,0,-1,17327,33046,18389,23902,22267,30173,553,17682,5295,6423,7893,8814,1
30000,1,2,2,69,0,1,3,2,0,1,14356,23899,26350,12466,14883,12435,5127,1097,9130,7870,2528,3475,0
80000,2,2,2,46,0,1,-1,1,-1,-1,58759,10303,22725,30842,12816,31898,23217,3691,11761,7447,7425,8616,0
80000,1,2,1,27,2,-1,-1,0,0,-1,51410,21758,25733,7517,10851,18098,40216,1008,10911,2617,0,2696,0
100000,2,1,1,30,0,-1,1,-1,1,0,52187,41188,41355,31381,43036,19852,5266,5083,28579,0,19689,4552,1
30000,2,1,1,25,0,-1,1,-1,-1,2,21250,21406,13437,7202,12663,2969,11241,7258,8610,2042,3244,905,0
300000,2,1,1,74,2,-1,0,0,0,1,79348,68166,143472,152092,274873,66725,19609,36252,22286,55825,144560,30241,1
20000,1,1,3,36,-1,2,-1,-1,0,0,6700,8134,340,5258,7295,6456,705,6289,48,0,4602,2385,0
500000,2,2,2,29,4,0,4,1,3,2,136482,252770,321670,154270,361592,99064,54612,91065,95085,10051,41974,26087,0
10000,1,2,2,70,1,0,1,0,2,5,2603,7862,6153,5558,3867,3207,476,0,1916,4103,1024,976,0
80000,1,1,2,72,1,-1,-1,5,0,0,49512,39287,5918,30117,19092,52284,24852,13834,1611,19662,7555,5549,0
50000,2,3,1,45,5,0,1,2,0,1,23053,7384,10893,25279,28246,23379,9454,0,5471,6198,6962,7526,0
50000,1,2,2,73,-1,0,2,8,2,0,13443,22528,14134,25812,17798,33919,8860,4508,10640,11737,6259,10029,0
80000,2,1,1,59,-1,1,-1,-1,3,0,43075,50940,8350,43606,29731,48229,6213,0,1608,8595,7001,16280,0
50000,2,2,1,58,1,0,0,-1,0,1,24025,4931,31258,19499,22268,13010,4446,1568,3710,6887,3407,5592,0
50000,1,4,1,35,-1,2,2,0,0,2,14372,22776,2353,16862,31807,38645,3896,8247,1626,3227,14211,9480,0
150000,2,1,3,52,0,0,-1,7,0,0,51603,58678,96958,63318,43605,113352,13569,26332,40022,40918,17800,38030,0
100000,1,2,1,72,1,2,2,1,1,-1,32487,41908,65221,28328,34258,20480,8476,16347,20270,12885,14132,9790,0
200000,1,4,2,55,-1,-1,-1,0,2,1,5593,129687,144505,28988,71080,25254,1695,47470,50761,12467,11417,13949,1
30000,2,1,2,44,0,-1,-1,-1,0,1,13675,2290,14300,10299,13739,13758,4394,958,4892,4482,4249,2565,0
